12: 0 5 4 3 2 1 6
21: 0 5 4 3 2 6 1
15: 0 5 4 3 6 1 2
18: 0 5 4 3 6 2 1
24: 0 5 4 6 1 2 3
21: 0 5 4 6 1 3 2
21: 0 5 4 6 2 1 3
24: 0 5 4 6 2 3 1
18: 0 5 4 6 3 1 2
21: 0 5 4 6 3 2 1
12: 0 5 6 1 2 3 4
15: 0 5 6 1 2 4 3
15: 0 5 6 1 3 2 4
18: 0 5 6 1 3 4 2
18: 0 5 6 1 4 2 3
15: 0 5 6 1 4 3 2
15: 0 5 6 2 1 3 4
18: 0 5 6 2 1 4 3
18: 0 5 6 2 3 1 4
21: 0 5 6 2 3 4 1
21: 0 5 6 2 4 1 3
18: 0 5 6 2 4 3 1
18: 0 5 6 3 1 2 4
21: 0 5 6 3 1 4 2
15: 0 5 6 3 2 1 4
18: 0 5 6 3 2 4 1
18: 0 5 6 3 4 1 2
21: 0 5 6 3 4 2 1
21: 0 5 6 4 1 2 3
18: 0 5 6 4 1 3 2
18: 0 5 6 4 2 1 3
21: 0 5 6 4 2 3 1
21: 0 5 6 4 3 1 2
24: 0 5 6 4 3 2 1
21: 0 6 1 2 3 4 5
18: 0 6 1 2 3 5 4
18: 0 6 1 2 4 3 5
21: 0 6 1 2 4 5 3
15: 0 6 1 2 5 3 4
24: 0 6 1 2 5 4 3
18: 0 6 1 3 2 4 5
15: 0 6 1 3 2 5 4
21: 0 6 1 3 4 2 5
18: 0 6 1 3 4 5 2
18: 0 6 1 3 5 2 4
21: 0 6 1 3 5 4 2
21: 0 6 1 4 2 3 5
24: 0 6 1 4 2 5 3
24: 0 6 1 4 3 2 5
21: 0 6 1 4 3 5 2
21: 0 6 1 4 5 2 3
18: 0 6 1 4 5 3 2
18: 0 6 1 5 2 3 4
21: 0 6 1 5 2 4 3
21: 0 6 1 5 3 2 4
24: 0 6 1 5 3 4 2
24: 0 6 1 5 4 2 3
21: 0 6 1 5 4 3 2
18: 0 6 2 1 3 4 5
15: 0 6 2 1 3 5 4
15: 0 6 2 1 4 3 5
18: 0 6 2 1 4 5 3
12: 0 6 2 1 5 3 4
21: 0 6 2 1 5 4 3
21: 0 6 2 3 1 4 5
18: 0 6 2 3 1 5 4
18: 0 6 2 3 4 1 5
21: 0 6 2 3 4 5 1
15: 0 6 2 3 5 1 4
24: 0 6 2 3 5 4 1
24: 0 6 2 4 1 3 5
27: 0 6 2 4 1 5 3
21: 0 6 2 4 3 1 5
24: 0 6 2 4 3 5 1
24: 0 6 2 4 5 1 3
27: 0 6 2 4 5 3 1
21: 0 6 2 5 1 3 4
24: 0 6 2 5 1 4 3
18: 0 6 2 5 3 1 4
27: 0 6 2 5 3 4 1
21: 0 6 2 5 4 1 3
24: 0 6 2 5 4 3 1
15: 0 6 3 1 2 4 5
12: 0 6 3 1 2 5 4
18: 0 6 3 1 4 2 5
15: 0 6 3 1 4 5 2
15: 0 6 3 1 5 2 4
18: 0 6 3 1 5 4 2
24: 0 6 3 2 1 4 5
21: 0 6 3 2 1 5 4
21: 0 6 3 2 4 1 5
24: 0 6 3 2 4 5 1
18: 0 6 3 2 5 1 4
27: 0 6 3 2 5 4 1
21: 0 6 3 4 1 2 5
24: 0 6 3 4 1 5 2
18: 0 6 3 4 2 1 5
27: 0 6 3 4 2 5 1
21: 0 6 3 4 5 1 2
24: 0 6 3 4 5 2 1
18: 0 6 3 5 1 2 4
21: 0 6 3 5 1 4 2
15: 0 6 3 5 2 1 4
24: 0 6 3 5 2 4 1
18: 0 6 3 5 4 1 2
21: 0 6 3 5 4 2 1
18: 0 6 4 1 2 3 5
21: 0 6 4 1 2 5 3
21: 0 6 4 1 3 2 5
18: 0 6 4 1 3 5 2
18: 0 6 4 1 5 2 3
15: 0 6 4 1 5 3 2
21: 0 6 4 2 1 3 5
24: 0 6 4 2 1 5 3
24: 0 6 4 2 3 1 5
27: 0 6 4 2 3 5 1
21: 0 6 4 2 5 1 3
24: 0 6 4 2 5 3 1
24: 0 6 4 3 1 2 5
21: 0 6 4 3 1 5 2
21: 0 6 4 3 2 1 5
24: 0 6 4 3 2 5 1
18: 0 6 4 3 5 1 2
21: 0 6 4 3 5 2 1
27: 0 6 4 5 1 2 3
24: 0 6 4 5 1 3 2
24: 0 6 4 5 2 1 3
27: 0 6 4 5 2 3 1
21: 0 6 4 5 3 1 2
24: 0 6 4 5 3 2 1
15: 0 6 5 1 2 3 4
18: 0 6 5 1 2 4 3
18: 0 6 5 1 3 2 4
21: 0 6 5 1 3 4 2
21: 0 6 5 1 4 2 3
18: 0 6 5 1 4 3 2
18: 0 6 5 2 1 3 4
27: 0 6 5 2 1 4 3
21: 0 6 5 2 3 1 4
24: 0 6 5 2 3 4 1
24: 0 6 5 2 4 1 3
21: 0 6 5 2 4 3 1
21: 0 6 5 3 1 2 4
24: 0 6 5 3 1 4 2
18: 0 6 5 3 2 1 4
21: 0 6 5 3 2 4 1
21: 0 6 5 3 4 1 2
24: 0 6 5 3 4 2 1
24: 0 6 5 4 1 2 3
21: 0 6 5 4 1 3 2
21: 0 6 5 4 2 1 3
24: 0 6 5 4 2 3 1
24: 0 6 5 4 3 1 2
27: 0 6 5 4 3 2 1
3: 1 0 2 3 4 5 6
12: 1 0 2 3 4 6 5
6: 1 0 2 3 5 4 6
9: 1 0 2 3 5 6 4
9: 1 0 2 3 6 4 5
6: 1 0 2 3 6 5 4
12: 1 0 2 4 3 5 6
15: 1 0 2 4 3 6 5
9: 1 0 2 4 5 3 6
18: 1 0 2 4 5 6 3
12: 1 0 2 4 6 3 5
15: 1 0 2 4 6 5 3
9: 1 0 2 5 3 4 6
12: 1 0 2 5 3 6 4
6: 1 0 2 5 4 3 6
15: 1 0 2 5 4 6 3
9: 1 0 2 5 6 3 4
12: 1 0 2 5 6 4 3
18: 1 0 2 6 3 4 5
15: 1 0 2 6 3 5 4
15: 1 0 2 6 4 3 5
18: 1 0 2 6 4 5 3
12: 1 0 2 6 5 3 4
21: 1 0 2 6 5 4 3
6: 1 0 3 2 4 5 6
15: 1 0 3 2 4 6 5
9: 1 0 3 2 5 4 6
12: 1 0 3 2 5 6 4
12: 1 0 3 2 6 4 5
9: 1 0 3 2 6 5 4
9: 1 0 3 4 2 5 6
18: 1 0 3 4 2 6 5
12: 1 0 3 4 5 2 6
15: 1 0 3 4 5 6 2
15: 1 0 3 4 6 2 5
12: 1 0 3 4 6 5 2
12: 1 0 3 5 2 4 6
15: 1 0 3 5 2 6 4
9: 1 0 3 5 4 2 6
18: 1 0 3 5 4 6 2
12: 1 0 3 5 6 2 4
15: 1 0 3 5 6 4 2
15: 1 0 3 6 2 4 5
12: 1 0 3 6 2 5 4
18: 1 0 3 6 4 2 5
15: 1 0 3 6 4 5 2
15: 1 0 3 6 5 2 4
18: 1 0 3 6 5 4 2
9: 1 0 4 2 3 5 6
18: 1 0 4 2 3 6 5
12: 1 0 4 2 5 3 6
15: 1 0 4 2 5 6 3
15: 1 0 4 2 6 3 5
12: 1 0 4 2 6 5 3
6: 1 0 4 3 2 5 6
15: 1 0 4 3 2 6 5
9: 1 0 4 3 5 2 6
12: 1 0 4 3 5 6 2
12: 1 0 4 3 6 2 5
9: 1 0 4 3 6 5 2
9: 1 0 4 5 2 3 6
18: 1 0 4 5 2 6 3
12: 1 0 4 5 3 2 6
15: 1 0 4 5 3 6 2
15: 1 0 4 5 6 2 3
12: 1 0 4 5 6 3 2
18: 1 0 4 6 2 3 5
21: 1 0 4 6 2 5 3
21: 1 0 4 6 3 2 5
18: 1 0 4 6 3 5 2
18: 1 0 4 6 5 2 3
15: 1 0 4 6 5 3 2
12: 1 0 5 2 3 4 6
15: 1 0 5 2 3 6 4
9: 1 0 5 2 4 3 6
18: 1 0 5 2 4 6 3
12: 1 0 5 2 6 3 4
15: 1 0 5 2 6 4 3
9: 1 0 5 3 2 4 6
12: 1 0 5 3 2 6 4
12: 1 0 5 3 4 2 6
15: 1 0 5 3 4 6 2
15: 1 0 5 3 6 2 4
12: 1 0 5 3 6 4 2
12: 1 0 5 4 2 3 6
21: 1 0 5 4 2 6 3
15: 1 0 5 4 3 2 6
18: 1 0 5 4 3 6 2
18: 1 0 5 4 6 2 3
15: 1 0 5 4 6 3 2
15: 1 0 5 6 2 3 4
18: 1 0 5 6 2 4 3
18: 1 0 5 6 3 2 4
21: 1 0 5 6 3 4 2
21: 1 0 5 6 4 2 3
18: 1 0 5 6 4 3 2
15: 1 0 6 2 3 4 5
12: 1 0 6 2 3 5 4
18: 1 0 6 2 4 3 5
15: 1 0 6 2 4 5 3
15: 1 0 6 2 5 3 4
18: 1 0 6 2 5 4 3
12: 1 0 6 3 2 4 5
